group,feature,definition,median_loss_function_change,positive_folds,selection_reason,selected,selection_rank,source
Level adjustment,load_seasonal_daytype_8d_q50_scaled_28d,Target seasonal median multiplied by `load_seasonal_level_ratio_28d`.,0.025366794,4,eligible,True,12,Round 1
Level adjustment,load_seasonal_level_delta_28d,Observed 28-day mean minus the mean historical seasonal median for those pre-origin hours.,-0.004401383414,1,non_positive_median,False,,New in round 2
Level adjustment,load_seasonal_daytype_8d_q50_shifted_28d,Target seasonal median plus `load_seasonal_level_delta_28d`.,0,2,non_positive_median,False,,New in round 2
Annual anchor,load_lag_calendar_1y,"Load at the target timestamp minus one calendar year; preserves month, day, and hour.",0,2,non_positive_median,False,,Round 1
Annual anchor,load_lag_calendar_2y,Load at the target timestamp minus two calendar years.,0.002884900212,3,insufficient_positive_folds,False,,New in round 2
Annual anchor,load_lag_364d,Load 364 days earlier; preserves weekday and hour because 364 days is 52 weeks.,-0.0010552527,2,non_positive_median,False,,Round 1
Annual anchor,load_lag_728d,Load 728 days earlier; preserves weekday and hour across 104 weeks.,-0.001051027348,0,non_positive_median,False,,New in round 2
Annual anchor,load_annual_anchor_mean,"Mean of the 1-year, 2-year, 364-day, and 728-day load anchors.",0.0003306150911,3,insufficient_positive_folds,False,,New in round 2
Annual anchor,load_annual_anchor_std,Population standard deviation across the same four annual anchors.,9.521927193e-05,3,insufficient_positive_folds,False,,New in round 2
Temperature climatology,temperature_clim_15d_mean,Mean temperature across stations and prior-cycle target-hour analogues within ±15 calendar days.,-0.001143480569,3,non_positive_median,False,,Round 1
Temperature climatology,temperature_clim_15d_min_station,Minimum across station-specific mean temperatures in the ±15-day analogue pool.,-0.003557186068,3,non_positive_median,False,,Round 1
Temperature climatology,temperature_clim_15d_max_station,Maximum across station-specific mean temperatures in the ±15-day analogue pool.,6.350840991e-05,3,insufficient_positive_folds,False,,Round 1
Temperature climatology,temperature_clim_15d_station_std,Population standard deviation across station-specific analogue means; a spatial spread measure.,0,0,non_positive_median,False,,Round 1
Temperature climatology,temperature_clim_15d_temporal_std,Population standard deviation across analogue-hour station means; a temporal uncertainty measure.,0.0111444859,3,insufficient_positive_folds,False,,Round 1
Temperature climatology,temperature_clim_15d_q10,10th percentile of station-mean temperature across target-hour ±15-day analogues.,0.07428505069,4,eligible,True,9,New in round 2
Temperature climatology,temperature_clim_15d_q90,90th percentile of station-mean temperature across target-hour ±15-day analogues.,0.006178166061,4,eligible,True,16,New in round 2
Temperature climatology,temperature_clim_15d_hdd65,"`max(65 - climatological mean temperature, 0)` in the supplied temperature units.",0.00962723625,4,eligible,True,14,New in round 2
Temperature climatology,temperature_clim_15d_cdd65,"`max(climatological mean temperature - 65, 0)` in the supplied temperature units.",-0.0007952729364,3,non_positive_median,False,,New in round 2
Recent temperature,temperature_recent_mean_1d,Mean observed temperature across stations and hours in the complete day before the origin.,0.009335024512,3,insufficient_positive_folds,False,,Round 1
Recent temperature,temperature_recent_mean_7d,Mean observed temperature across stations and hours in the complete 7 days before the origin.,-0.007306525889,2,non_positive_median,False,,Round 1
Recent temperature,temperature_recent_mean_28d,Mean observed temperature across stations and hours in the complete 28 days before the origin.,0.002551251103,3,insufficient_positive_folds,False,,Round 1
Recent temperature,temperature_recent_std_7d,Population standard deviation over 7 days of hourly temperature after averaging stations.,0.03269045223,4,eligible,True,10,Round 1
Recent temperature,temperature_recent_anomaly_7d,Observed 7-day mean minus historical seasonal expectations for those same pre-origin hours.,-0.03423654753,2,non_positive_median,False,,Round 1
Horizon decay,temperature_recent_anomaly_7d_decay_14d,`temperature_recent_anomaly_7d * exp(-horizon_hours / (24 * 14))`.,-0.03154466673,2,non_positive_median,False,,New in round 2
Horizon decay,load_last_day_same_hour_decay_2d,`load_last_day_same_hour * exp(-horizon_hours / (24 * 2))`.,-0.01162062221,1,non_positive_median,False,,New in round 2
Horizon decay,load_last_same_hour_of_week_decay_7d,`load_last_same_hour_of_week * exp(-horizon_hours / (24 * 7))`.,0.003443610999,3,insufficient_positive_folds,False,,New in round 2
